"","""Wind Mill A Series""","Wind Mill A Series","Wind Mill A Series","Products","Nos","Wind Mill A Series for Home Use 9ft","Yes","No","No","Yes","No","Yes","Yes","No","Yes","Yes","No","","","/assets/erpnext_demo/images/wind-turbine.png","<table style=""width: 100%; table-layout: fixed;""><tr><td style=""width:110px""><img src=""/assets/erpnext_demo/images/wind-turbine.png"" width=""100px""></td><td>Wind Mill A Series for Home Use 9ft</td></tr></table>","Finished Goods - WP",0.0,"",0.0,"WMA","","",0.0,"",0.0,0.0,"",0,"","",0.0,0.0,"","",0.0,"Sales - WP","","",1,"wind-mill-a-series",0,"","/assets/erpnext_demo/images/wind-turbine.png","","","products","","","","","","","","""UCDD/00014""","Nos",1.0,"","","","","","","","","","","","","","","","","","","","","","",""
"","""Wind Turbine""","Wind Turbine","Wind Turbine","Products","Nos","Small Wind Turbine for Home Use","Yes","No","No","Yes","No","Yes","Yes","No","Yes","Yes","No","","","/assets/erpnext_demo/images/wind-turbine-1.jpg","<table style=""width: 100%; table-layout: fixed;""><tr><td style=""width:110px""><img src=""/assets/erpnext_demo/images/wind-turbine-1.jpg"" width=""100px""></td><td>Small Wind Turbine for Home Use</td></tr></table>","Finished Goods - WP",0.0,"",0.0,"WTU","","",0.0,"",0.0,0.0,"",0,"","",0.0,0.0,"","",0.0,"Sales - WP","","",1,"wind-turbine",0,"","/assets/erpnext_demo/images/wind-turbine-1.jpg","","","products","","","","","","","","""UCDD/00016""","Nos",1.0,"","","","","","","","","","","","","","","","","","","","","","",""
"","""Bearing Pipe""","Bearing Pipe","Bearing Pipe","Raw Material","Nos","1.5 in. Diameter x 36 in. Mild Steel Tubing","Yes","No","No","No","Yes","Yes","Yes","No","No","No","No","","","","","Stores - WP",0.0,"",0.0,"","","",0.0,"",0.0,0.0,"HomeBase",0,"","",15.0,0.0,"","",0.0,"Sales - WP","","",1,"bearing-pipe",0,"","","","","","","","","","","","","""UCDD/00006""","Nos",1.0,"","","","","","","","","","","","","","","","","","","","","","",""
"","""Wing Sheet""","Wing Sheet","Wing Sheet","Raw Material","Nos","1/32 in. x 24 in. x 47 in. HDPE Opaque Sheet","Yes","No","No","No","Yes","Yes","Yes","No","No","No","No","","","","","Stores - WP",0.0,"",0.0,"","","",0.0,"",0.0,0.0,"New World Realty",0,"","",22.0,0.0,"","",0.0,"Sales - WP","","",1,"wing-sheet",0,"","","","","","","","","","","","","""UCDD/00017""","Nos",1.0,"","","","","","","","","","","","","","","","","","","","","","",""
"","""Upper Bearing Plate""","Upper Bearing Plate","Upper Bearing Plate","Raw Material","Nos","3/16 in. x 6 in. x 6 in. Low Carbon Steel Plate","Yes","No","No","No","Yes","Yes","Yes","No","No","No","No","","","","","Stores - WP",0.0,"",0.0,"","","",0.0,"",0.0,0.0,"Eagle Hardware",0,"","",50.0,0.0,"","",0.0,"Sales - WP","","",1,"upper-bearing-plate",0,"","","","","","","","","","","","","""UCDD/00013""","Nos",1.0,"","","","","","","","","","","","","","","","","","","","","","",""
"","""Bearing Assembly""","Bearing Assembly","Bearing Assembly","Sub Assemblies","Nos","Bearing Assembly","Yes","No","No","No","No","Yes","No","No","Yes","Yes","No","","","","","Stores - WP",0.0,"",0.0,"","","",0.0,"",0.0,0.0,"Asiatic Solutions",0,"","",0.0,0.0,"","",0.0,"Sales - WP","","",1,"bearing-assembly",0,"","","","","","","","","","","","","""UCDD/00003""","Nos",1.0,"","","","","","","","","","","","","","","","","","","","","","",""
"","""Base Plate""","Base Plate","Base Plate","Raw Material","Nos","3/4 in. x 2 ft. x 4 ft. Pine Plywood","Yes","No","No","No","Yes","Yes","Yes","No","No","No","No","","","","","Stores - WP",0.0,"",0.0,"","","",0.0,"",0.0,0.0,"HomeBase",0,"","",20.0,0.0,"","",0.0,"Sales - WP","","",1,"base-plate",0,"","","","","","","","","","","","","""UCDD/00002""","Nos",1.0,"","","","","","","","","","","","","","","","","","","","","","",""
"","""Stand""","Stand","Stand","Raw Material","Nos","N/A","Yes","No","No","No","Yes","Yes","Yes","No","No","No","No","","","","","Stores - WP",0.0,"",0.0,"","","",0.0,"",0.0,0.0,"Scott Ties",0,"","",40.0,0.0,"","",0.0,"Sales - WP","","",1,"stand",0,"","","","","","","","","","","","","""UCDD/00012""","Nos",1.0,"","","","","","","","","","","","","","","","","","","","","","",""
"","""Bearing Collar""","Bearing Collar","Bearing Collar","Raw Material","Nos","1 in. x 3 in. x 1 ft. Multipurpose Al Alloy Bar","Yes","No","No","No","Yes","Yes","Yes","No","No","No","No","","","","","Stores - WP",0.0,"",0.0,"","","",0.0,"",0.0,0.0,"Eagle Hardware",0,"","",20.0,0.0,"","",0.0,"Sales - WP","","",1,"bearing-collar",0,"","","","","","","","","","","","","""UCDD/00005""","Nos",1.0,"","","","","","","","","","","","","","","","","","","","","","",""
"","""Base Bearing Plate""","Base Bearing Plate","Base Bearing Plate","Raw Material","Nos","1/4 in. x 6 in. x 6 in. Mild Steel Plate","Yes","No","No","No","Yes","Yes","Yes","No","No","No","No","","","","","Stores - WP",0.0,"",0.0,"","","",0.0,"",0.0,0.0,"Eagle Hardware",0,"","",15.0,0.0,"","",0.0,"Sales - WP","","",1,"base-bearing-plate",0,"","","","","","","","","","","","","""UCDD/00001""","Nos",1.0,"","","","","","","","","","","","","","","","","","","","","","",""
"","""External Disc""","External Disc","External Disc","Raw Material","Nos","15/32 in. x 4 ft. x 8 ft. 3-Ply Rtd Sheathing","Yes","No","No","No","Yes","Yes","Yes","No","No","No","No","","","","","Stores - WP",0.0,"",0.0,"","","",0.0,"",0.0,0.0,"HomeBase",0,"","",45.0,0.0,"","",0.0,"Sales - WP","","",1,"external-disc",0,"","","","","","","","","","","","","""UCDD/00009""","Nos",1.0,"","","","","","","","","","","","","","","","","","","","","","",""
"","""Shaft""","Shaft","Shaft","Raw Material","Nos","1.25 in. Diameter x 6 ft. Mild Steel Tubing","Yes","No","No","No","Yes","Yes","Yes","No","No","No","No","","","","","Stores - WP",0.0,"",0.0,"","","",0.0,"",0.0,0.0,"Eagle Hardware",0,"","",30.0,0.0,"","",0.0,"Sales - WP","","",1,"shaft",0,"","","","","","","","","","","","","""UCDD/00011""","Nos",1.0,"","","","","","","","","","","","","","","","","","","","","","",""
"","""Blade Rib""","Blade Rib","Blade Rib","Raw Material","Nos","1/2 in. x 2 ft. x 4 ft. Pine Plywood","Yes","No","No","No","Yes","Yes","Yes","No","No","No","No","","","","","Stores - WP",0.0,"",0.0,"","","",0.0,"",0.0,0.0,"Ks Merchandise",0,"","",10.0,0.0,"","",0.0,"Sales - WP","","",1,"blade-rib",0,"","","","","","","","","","","","","""UCDD/00007""","Nos",1.0,"","","","","","","","","","","","","","","","","","","","","","",""
"","""Internal Disc""","Internal Disc","Internal Disc","Raw Material","Nos","For Bearing Collar","Yes","No","No","No","Yes","Yes","Yes","No","No","No","No","","","","","Stores - WP",0.0,"",0.0,"","","",0.0,"",0.0,0.0,"HomeBase",0,"","",33.0,0.0,"","",0.0,"Sales - WP","","",1,"internal-disc",0,"","","","","","","","","","","","","""UCDD/00010""","Nos",1.0,"","","","","","","","","","","","","","","","","","","","","","",""
